order_id	order_date	order_time	employee_id	customer_id
1	2020-01-11	21:11:27	24	63
2	2020-01-31	22:12:53	22	57
3	2020-01-26	21:15:09	8	92
4	2020-01-06	22:43:54	1	88
5	2020-01-29	19:26:47	6	35
6	2020-01-15	16:44:01	7	15
7	2020-01-28	18:19:31	24	57
8	2020-01-27	17:58:02	22	17
9	2020-01-11	13:41:24	24	16
10	2020-01-29	19:24:51	7	92
11	2020-01-08	12:06:58	24	23
12	2020-01-12	15:26:21	8	78
13	2020-01-23	13:34:49	23	54
14	2020-01-25	15:05:10	15	14
15	2020-01-29	15:43:44	12	45
16	2020-01-05	20:11:19	4	46
17	2020-01-15	17:04:49	24	9
18	2020-01-14	16:53:27	4	89
19	2020-01-13	19:18:41	12	46
20	2020-01-15	17:28:10	14	28
21	2020-01-09	16:34:15	2	60
22	2020-01-06	14:16:05	24	42
23	2020-01-28	14:12:54	6	68
24	2020-01-15	16:18:23	22	78
25	2020-01-20	12:13:32	3	41
26	2020-01-10	17:03:04	23	18
27	2020-01-28	15:45:10	20	86
28	2020-01-07	14:26:20	11	76
29	2020-01-28	17:13:29	12	61
30	2020-01-03	16:12:20	14	14
31	2020-01-22	13:36:31	22	58
32	2020-01-13	18:38:34	17	52
33	2020-01-28	17:03:22	19	29
34	2020-01-01	15:37:47	15	5
35	2020-01-10	20:59:56	23	87
36	2020-01-28	17:05:33	1	76
37	2020-01-26	13:08:19	16	59
38	2020-01-06	19:14:51	5	46
39	2020-01-08	18:54:41	9	17
40	2020-01-11	19:58:22	14	37
41	2020-01-25	16:22:12	21	48
42	2020-01-20	15:27:09	19	78
43	2020-01-26	14:40:46	8	82
44	2020-01-22	18:09:25	5	96
45	2020-01-26	12:26:50	16	73
46	2020-01-11	19:16:41	24	63
47	2020-01-20	12:19:31	20	45
48	2020-01-13	22:57:08	12	35
49	2020-01-19	16:10:21	19	46
50	2020-01-26	17:45:40	20	86
51	2020-01-19	13:55:29	15	12
52	2020-01-14	16:49:06	8	31
53	2020-01-12	13:56:25	18	16
54	2020-01-31	20:34:57	21	73
55	2020-01-19	17:30:29	14	35
56	2020-01-06	17:18:18	15	20
57	2020-01-11	20:45:24	10	72
58	2020-01-05	18:20:46	6	43
59	2020-01-14	16:22:56	12	29
60	2020-01-16	22:46:07	16	43
61	2020-01-07	17:39:58	5	14
62	2020-01-29	18:49:21	4	83
63	2020-01-07	14:10:37	17	79
64	2020-01-01	20:17:41	4	76
65	2020-01-10	17:58:57	11	60
66	2020-01-13	19:57:04	17	61
67	2020-01-13	17:33:37	1	30
68	2020-01-19	18:06:30	12	83
69	2020-01-16	21:11:42	24	37
70	2020-01-16	15:23:10	24	54
71	2020-01-01	18:24:07	2	98
72	2020-01-27	20:55:47	9	68
73	2020-01-07	17:52:30	4	96
74	2020-01-05	15:17:43	16	28
75	2020-01-07	13:56:16	23	94
76	2020-01-18	12:22:13	8	5
77	2020-01-18	19:04:53	15	24
78	2020-01-22	14:51:34	8	44
79	2020-01-17	19:21:28	5	1
80	2020-01-10	20:25:55	23	29
81	2020-01-13	22:01:13	19	17
82	2020-01-11	22:37:33	17	90
83	2020-01-29	20:36:21	20	1
84	2020-01-28	16:03:46	18	80
85	2020-01-06	17:42:28	15	66
86	2020-01-13	16:44:28	9	55
87	2020-01-19	22:38:08	23	72
88	2020-01-24	20:57:49	13	62
89	2020-01-19	19:49:29	5	12
90	2020-01-13	19:06:46	8	62
91	2020-01-27	14:51:39	3	69
92	2020-01-28	21:21:05	15	40
93	2020-01-12	13:41:24	18	78
94	2020-01-03	14:11:22	13	72
95	2020-01-07	18:35:38	22	73
96	2020-01-07	14:06:09	20	93
97	2020-01-24	21:59:26	15	52
98	2020-01-19	21:18:27	21	11
99	2020-01-28	21:47:21	23	26
100	2020-01-15	21:45:56	14	62
101	2020-01-07	19:17:30	24	78
102	2020-01-16	13:24:31	15	73
103	2020-01-29	14:31:13	13	44
104	2020-01-13	19:59:39	22	45
105	2020-01-01	15:54:51	7	11
106	2020-01-13	20:22:09	21	59
107	2020-01-13	20:49:31	8	65
108	2020-01-29	19:31:46	4	41
109	2020-01-28	14:33:18	20	71
110	2020-01-25	13:55:02	11	90
111	2020-01-26	18:26:11	8	89
112	2020-01-06	15:20:37	1	38
113	2020-01-03	18:02:54	22	18
114	2020-01-04	19:53:11	23	47
115	2020-01-09	20:55:22	11	81
116	2020-01-13	12:07:06	11	22
117	2020-01-30	17:02:58	19	46
118	2020-01-02	22:13:37	6	51
119	2020-01-29	15:01:21	18	90
120	2020-01-04	17:34:24	24	98
121	2020-01-26	22:29:09	8	58
122	2020-01-27	17:39:54	17	16
123	2020-01-15	21:29:17	7	43
124	2020-01-25	15:44:48	24	89
125	2020-01-04	19:25:07	7	58
126	2020-01-24	17:15:25	17	57
127	2020-01-04	19:47:56	11	41
128	2020-01-07	22:41:01	6	99
129	2020-01-03	13:58:03	14	80
130	2020-01-20	19:35:53	15	65
131	2020-01-29	13:29:07	3	40
132	2020-01-07	14:41:51	1	2
133	2020-01-25	16:10:08	17	45
134	2020-01-05	12:41:05	24	76
135	2020-01-24	17:36:11	11	24
136	2020-01-02	20:38:30	21	53
137	2020-01-13	22:58:17	15	50
138	2020-01-13	13:30:33	19	1
139	2020-01-19	22:50:37	16	100
140	2020-01-10	15:02:53	1	45
141	2020-01-17	21:37:14	12	56
142	2020-01-02	16:13:09	9	79
143	2020-01-18	12:56:27	20	75
144	2020-01-25	20:02:37	15	32
145	2020-01-02	12:22:14	20	55
146	2020-01-29	20:10:45	3	99
147	2020-01-07	13:58:29	5	98
148	2020-01-03	14:47:39	8	39
149	2020-01-19	15:51:25	1	35
150	2020-01-06	13:15:04	22	26
151	2020-01-11	17:40:28	13	10
152	2020-01-07	13:12:02	5	16
153	2020-01-18	13:08:52	2	86
154	2020-01-12	15:22:23	24	36
155	2020-01-06	20:55:03	7	60
156	2020-01-26	18:43:07	24	48
157	2020-01-15	16:22:01	5	70
158	2020-01-17	22:38:06	14	78
159	2020-01-09	12:49:56	21	23
160	2020-01-06	14:40:21	6	20
161	2020-01-17	18:37:39	12	15
162	2020-01-19	22:34:57	17	16
163	2020-01-18	20:33:29	22	30
164	2020-01-06	21:25:44	22	96
165	2020-01-07	20:36:22	2	59
166	2020-01-02	17:27:43	21	28
167	2020-01-31	17:20:18	9	9
168	2020-01-10	15:36:19	23	44
169	2020-01-05	21:53:17	12	42
170	2020-01-02	12:01:11	4	87
171	2020-01-01	13:10:52	12	12
172	2020-01-18	12:21:22	14	34
173	2020-01-21	15:46:57	7	36
174	2020-01-30	22:08:52	19	18
175	2020-01-04	13:49:50	12	95
176	2020-01-16	17:24:04	15	55
177	2020-01-22	14:24:49	22	89
