p_id	order_id	quantity
482	551	3
392	3252	4
96	8004	4
18	5177	2
520	4304	3
40	557	1
287	2880	5
329	8807	1
169	4988	4
256	333	4
126	2840	4
259	7317	2
480	4035	1
271	749	1
131	1687	1
399	8629	2
373	4018	5
444	7221	3
433	6051	1
343	7156	3
337	541	3
228	2030	5
253	1633	2
42	7506	1
193	4223	3
69	462	1
45	6260	2
87	8055	4
342	6471	4
290	3978	2
210	8131	4
251	5124	4
505	1271	4
441	2353	5
318	6764	2
182	5969	1
167	3412	4
268	6330	2
87	5226	1
347	1265	5
184	259	2
344	9935	4
289	2558	3
379	9500	1
468	7629	1
438	3983	2
74	2526	5
411	694	1
88	3894	5
113	9849	1
254	682	2
179	4465	2
260	6270	5
133	4850	2
56	5311	3
465	4550	3
296	8356	4
199	1033	4
206	5366	5
428	3019	2
476	5872	5
437	9406	1
34	7706	4
488	5172	2
169	1030	3
321	1909	4
319	3661	3
150	1062	1
379	4402	1
123	278	4
421	7702	2
26	1063	4
362	7895	3
491	4541	5
60	8570	5
81	4307	3
320	4398	1
114	2952	4
443	3225	1
46	660	2
38	8162	3
231	262	4
197	3888	3
454	940	1
519	5676	2
233	6243	2
498	2366	4
102	1825	4
172	6038	3
306	6376	1
153	7732	4
365	1498	2
442	7907	4
494	5000	4
28	6065	4
85	1642	3
44	5467	3
222	4380	2
509	1588	1
138	7648	4
340	4901	4
520	2112	2
313	9158	4
104	7882	1
447	1846	4
176	4988	1
515	3554	1
271	7351	5
212	750	5
483	3448	5
42	5517	3
419	9945	3
93	9456	3
313	1970	4
326	612	4
120	1663	2
336	9441	3
65	2998	3
88	2574	4
485	5143	1
396	2583	2
126	50	2
217	7712	5
260	4617	4
290	7231	1
409	4748	4
64	8375	1
184	9791	2
479	8459	2
418	2231	2
377	9807	3
424	3868	1
464	5412	4
33	4259	3
319	5281	5
231	6500	4
158	9050	1
348	5005	1
422	7882	2
240	5804	4
142	722	3
498	1258	5
90	702	4
194	4311	5
377	9364	2
281	6872	2
234	3109	3
202	2444	1
514	3575	2
29	8108	4
12	1640	4
503	6366	2
366	8667	5
133	2414	4
426	4650	1
281	3943	1
197	253	5
135	6288	5
9	6322	1
302	1393	1
412	3976	5
101	58	3
289	5918	4
248	1306	5
352	4567	1
125	6834	1
480	7284	1
325	613	1
137	6222	2
319	4481	4
505	7579	2
291	2131	3
133	7672	2
415	469	4
328	8964	1
373	1372	4
254	5433	3
436	3152	5
127	7782	3
319	7971	2
69	37	5
476	7256	4
215	3960	4
461	3160	4
286	2444	5
234	6081	4
419	7091	1
456	7990	2
325	6928	4
200	6758	3
378	7131	5
149	9226	3
226	7744	5
406	5375	1
61	6637	2
311	9534	1
110	268	3
358	2122	2
169	5796	4
236	514	5
508	3479	1
112	3188	5
286	6073	4
458	9014	1
449	2730	3
448	4433	4
366	6252	1
360	3122	3
341	1977	2
401	5409	2
283	7338	3
153	2754	4
159	1646	2
355	4808	2
144	9119	4
85	5989	2
487	8438	4
321	29	5
30	2639	4
330	3627	2
93	7009	1
507	3145	5
402	5024	1
175	4852	2
493	7660	5
228	2172	2
462	3100	4
256	4689	3
489	1709	3
139	9384	1
489	3946	2
263	9614	5
111	6237	3
253	8900	5
462	5558	4
400	4264	5
43	8058	5
407	7324	3
486	5349	5
85	2623	1
48	3852	1
86	6075	2
133	3123	2
181	5191	5
65	8665	1
405	9942	4
396	5556	5
391	8194	3
112	2475	5
250	1748	4
461	7227	1
332	7567	3
483	7149	2
210	6143	1
139	6379	1
225	6681	3
83	8528	1
313	389	5
97	2312	1
334	8258	2
297	1403	2
350	7439	2
363	9259	4
38	1406	4
9	1768	5
473	5869	1
232	1040	1
102	1699	2
172	6172	1
158	3589	2
116	1681	2
350	1510	5
234	6631	3
256	5674	2
95	68	3
491	7305	3
146	7829	1
506	378	1
63	9225	3
54	4362	5
202	9918	1
60	5900	5
306	6176	5
88	6139	5
362	5482	3
62	8715	3
76	4383	4
316	4075	2
63	8161	4
79	3296	3
170	2867	5
396	333	2
427	9448	1
362	2364	3
372	3710	5
485	7712	2
203	9718	5
330	6031	1
198	2427	1
232	707	5
197	2843	3
170	7811	2
442	1270	3
384	8542	2
368	4670	1
222	9569	3
5	8392	2
141	9007	3
377	3121	3
424	1884	1
385	724	4
56	962	1
176	4174	2
502	1692	2
362	1867	1
342	4801	5
4	4106	5
367	6821	3
294	3222	5
369	2752	1
66	7908	2
20	1496	4
313	1815	1
72	3040	5
270	4321	3
194	3615	5
300	207	5
273	6224	4
237	9108	4
214	5239	4
490	5960	5
287	7507	5
269	7410	2
289	6164	2
296	4354	4
313	711	5
494	2800	5
418	4041	3
193	9987	3
379	7136	3
376	8135	1
86	877	1
175	2615	4
243	8743	2
360	3553	3
242	9233	1
173	3471	3
29	3828	1
142	7588	3
349	7394	1
140	9221	2
380	9542	5
117	9746	2
41	7692	4
330	1359	3
360	469	2
352	6271	3
257	3223	1
349	3471	2
15	7245	5
35	5332	2
